lsoa,size
E01000001,4654
E01000002,4653
E01000003,4654
E01000005,4651
E01000006,4638
E01000007,4639
E01000008,4639
E01000009,4638
E01000010,4638
E01000011,4639
E01000012,4639
E01000013,4632
E01000014,4633
E01000015,4632
E01000016,4632
E01000017,4633
E01000018,4632
E01000019,4636
E01000020,4635
E01000021,4636
E01000022,4636
E01000023,4636
E01000024,4635
E01000025,4636
E01000027,4637
E01000028,4637
E01000029,4636
E01000030,4636
E01000031,4635
E01000032,4636
E01000033,4632
E01000034,4631
E01000035,4631
E01000036,4631
E01000037,4631
E01000038,4631
E01000039,4630
E01000040,4636
E01000041,4635
E01000042,4636
E01000043,4636
E01000044,4637
E01000045,4635
E01000046,4634
E01000048,4637
E01000049,4637
E01000050,4637
E01000051,4638
E01000052,4637
E01000053,4632
E01000054,4633
E01000055,4634
E01000056,4633
E01000057,4634
E01000058,4633
E01000059,4632
E01000060,4633
E01000061,4633
E01000062,4633
E01000063,4633
E01000064,4632
E01000065,4633
E01000066,4637
E01000067,4637
E01000068,4638
E01000069,4637
E01000070,4638
E01000071,4637
E01000072,4636
E01000073,4636
E01000074,4635
E01000075,4634
E01000076,4635
E01000077,4635
E01000078,4634
E01000079,4633
E01000080,4634
E01000081,4634
E01000082,4634
E01000083,4635
E01000084,4632
E01000085,4632
E01000086,4632
E01000087,4631
E01000088,4631
E01000089,4630
E01000090,4630
E01000091,4635
E01000092,4635
E01000093,4636
E01000094,4634
E01000095,4633
E01000096,4634
E01000097,4636
E01000098,4635
E01000099,4635
E01000100,4634
E01000101,4634
E01000102,4635
E01000103,4630
E01000104,4630
E01000105,4631
E01000106,4631
E01000107,4630
E01000108,4630
E01000109,4634
E01000110,4635
E01000111,4634
E01000112,4635
E01000113,4635
E01000114,4634
E01000115,4667
E01000116,4667
E01000117,4668
E01000118,4667
E01000119,4666
E01000120,4666
E01000121,4667
E01000122,4665
E01000123,4666
E01000124,4666
E01000125,4676
E01000126,4674
E01000127,4676
E01000128,4675
E01000129,4676
E01000130,4675
E01000131,4675
E01000132,4676
E01000133,4675
E01000134,4676
E01000135,4667
E01000136,4666
E01000137,4667
E01000138,4667
E01000139,4667
E01000140,4666
E01000141,4668
E01000142,4668
E01000143,4667
E01000144,4667
E01000145,4668
E01000146,4667
E01000147,4673
E01000148,4674
E01000150,4673
E01000151,4674
E01000152,4674
E01000153,4674
E01000154,4674
E01000155,4674
E01000156,4665
E01000157,4664
E01000158,4666
E01000159,4667
E01000160,4665
E01000161,4666
E01000162,4666
E01000163,4665
E01000164,4665
E01000165,4665
E01000166,4670
E01000167,4671
E01000168,4669
E01000169,4670
E01000170,4669
E01000171,4670
E01000172,4668
E01000173,4668
E01000174,4669
E01000175,4668
E01000176,4667
E01000177,4666
E01000178,4666
E01000179,4667
E01000180,4666
E01000181,4665
E01000182,4665
E01000183,4666
E01000184,4666
E01000185,4666
E01000186,4678
E01000187,4678
E01000188,4680
E01000189,4679
E01000190,4679
E01000191,4678
E01000192,4678
E01000193,4678
E01000194,4677
E01000195,4678
E01000196,4669
E01000197,4668
E01000198,4671
E01000199,4670
E01000200,4670
E01000201,4669
E01000202,4669
E01000203,4668
E01000204,4670
E01000205,4668
E01000206,4666
E01000207,4667
E01000208,4666
E01000209,4668
E01000210,4667
E01000211,4668
E01000212,4667
E01000213,4666
E01000214,4667
E01000215,4669
E01000216,4668
E01000217,4669
E01000218,4668
E01000219,4669
E01000220,4668
E01000221,4670
E01000222,4669
E01000223,4669
E01000224,4668
E01000225,4669
E01000226,4676
E01000227,4677
E01000228,4677
E01000229,4677
E01000230,4678
E01000231,4677
E01000232,4677
E01000233,4676
E01000234,4676
E01000235,4675
E01000236,4670
E01000237,4671
E01000238,4670
E01000239,4672
E01000240,4672
E01000241,4671
E01000242,4671
E01000243,4671
E01000244,4672
E01000245,4671
E01000246,4672
E01000247,4672
E01000248,4674
E01000249,4675
E01000250,4673
E01000251,4671
E01000252,4672
E01000253,4677
E01000254,4674
E01000255,4673
E01000256,4674
E01000257,4671
E01000258,4674
E01000259,4672
E01000260,4673
E01000261,4675
E01000262,4672
