Codes,Names,total_notifiable_offences_year_minus_3,total_notifiable_offences_year_minus_2,total_notifiable_offences_year_minus_1,total_notifiable_offences_now,total_notifiable_offences_2012
E01000006,Barking and Dagenham 016A,104,91,116,100,101
E01000007,Barking and Dagenham 015A,342,364,329,337,308
E01000008,Barking and Dagenham 015B,184,197,217,144,96
E01000009,Barking and Dagenham 016B,318,287,312,325,249
E01000010,Barking and Dagenham 015C,1077,1173,1121,1064,1011
E01000011,Barking and Dagenham 016C,98,138,116,101,95
E01000012,Barking and Dagenham 015D,150,237,163,147,172
E01000013,Barking and Dagenham 013A,298,294,291,286,283
E01000014,Barking and Dagenham 013B,115,90,104,116,122
E01000015,Barking and Dagenham 009A,135,185,172,171,155
E01000016,Barking and Dagenham 009B,120,124,125,107,98
E01000017,Barking and Dagenham 009C,100,98,109,105,87
E01000018,Barking and Dagenham 009D,105,125,125,111,87
E01000019,Barking and Dagenham 005A,100,114,126,95,93
E01000020,Barking and Dagenham 005B,106,132,158,122,129
E01000021,Barking and Dagenham 008A,178,193,152,174,154
E01000022,Barking and Dagenham 008B,107,95,102,91,78
E01000023,Barking and Dagenham 008C,152,139,122,147,152
E01000024,Barking and Dagenham 008D,82,101,83,67,68
E01000025,Barking and Dagenham 008E,86,111,87,103,74
E01000026,Barking and Dagenham 005C,218,235,187,236,192
E01000027,Barking and Dagenham 001A,234,240,200,113,142
E01000028,Barking and Dagenham 001B,136,104,138,127,106
E01000029,Barking and Dagenham 001C,105,103,115,106,88
E01000030,Barking and Dagenham 001D,353,259,335,272,188
E01000031,Barking and Dagenham 002A,158,153,141,126,136
E01000032,Barking and Dagenham 002B,213,192,230,187,164
E01000033,Barking and Dagenham 006A,113,160,97,97,110
E01000034,Barking and Dagenham 003A,115,130,89,119,103
E01000035,Barking and Dagenham 010A,256,216,180,222,173
E01000036,Barking and Dagenham 010B,151,117,106,114,84
E01000037,Barking and Dagenham 003B,59,70,82,80,58
E01000038,Barking and Dagenham 003C,75,67,77,59,59
E01000039,Barking and Dagenham 003D,56,56,47,59,52
E01000040,Barking and Dagenham 019A,165,155,150,147,125
E01000041,Barking and Dagenham 017A,99,99,103,73,64
E01000042,Barking and Dagenham 017B,192,164,231,139,146
E01000043,Barking and Dagenham 019B,141,95,123,131,89
E01000044,Barking and Dagenham 016D,128,150,152,119,137
E01000045,Barking and Dagenham 017C,208,210,236,191,175
E01000046,Barking and Dagenham 017D,72,113,123,95,96
E01000047,Barking and Dagenham 021A,477,450,553,457,523
E01000048,Barking and Dagenham 021B,128,110,88,113,84
E01000049,Barking and Dagenham 021C,183,117,162,140,182
E01000050,Barking and Dagenham 019C,138,138,161,164,133
E01000051,Barking and Dagenham 021D,157,113,141,112,107
E01000052,Barking and Dagenham 019D,136,164,152,187,176
E01000053,Barking and Dagenham 020A,137,169,179,177,129
E01000054,Barking and Dagenham 018A,87,86,118,77,125
E01000055,Barking and Dagenham 018B,107,119,129,102,111
E01000056,Barking and Dagenham 018C,170,175,184,183,144
E01000057,Barking and Dagenham 012A,192,188,177,134,135
E01000058,Barking and Dagenham 018D,111,114,115,96,106
E01000059,Barking and Dagenham 013C,105,118,108,119,84
E01000060,Barking and Dagenham 006B,336,227,246,298,283
E01000061,Barking and Dagenham 006C,193,238,221,249,218
E01000062,Barking and Dagenham 006D,116,144,127,108,128
E01000063,Barking and Dagenham 004A,81,114,106,119,89
E01000064,Barking and Dagenham 006E,162,131,151,174,161
E01000065,Barking and Dagenham 007A,130,131,132,128,117
E01000066,Barking and Dagenham 011A,92,85,109,125,121
E01000067,Barking and Dagenham 011B,112,110,117,132,86
E01000068,Barking and Dagenham 016E,127,137,164,136,108
E01000069,Barking and Dagenham 011C,96,86,86,97,83
E01000070,Barking and Dagenham 011D,179,235,251,211,206
E01000071,Barking and Dagenham 011E,121,115,149,162,127
E01000072,Barking and Dagenham 017E,241,225,205,188,189
E01000073,Barking and Dagenham 012B,96,111,111,69,96
E01000074,Barking and Dagenham 012C,107,96,116,82,95
E01000075,Barking and Dagenham 012D,179,189,201,177,118
E01000076,Barking and Dagenham 012E,116,172,138,99,98
E01000077,Barking and Dagenham 008F,174,149,131,147,106
E01000078,Barking and Dagenham 007B,168,110,152,138,138
E01000079,Barking and Dagenham 009E,110,119,89,86,85
E01000080,Barking and Dagenham 007C,154,140,115,126,121
E01000081,Barking and Dagenham 007D,65,117,92,100,73
E01000082,Barking and Dagenham 007E,152,138,135,162,114
E01000083,Barking and Dagenham 007F,147,138,118,102,106
E01000084,Barking and Dagenham 013D,164,139,140,119,127
E01000085,Barking and Dagenham 013E,142,163,154,156,131
E01000086,Barking and Dagenham 013F,92,94,82,108,117
E01000087,Barking and Dagenham 020B,209,202,141,178,173
E01000088,Barking and Dagenham 020C,145,134,127,147,121
E01000089,Barking and Dagenham 020D,98,89,94,86,95
E01000090,Barking and Dagenham 020E,112,113,125,145,131
E01000091,Barking and Dagenham 022A,182,171,155,105,118
E01000092,Barking and Dagenham 019E,378,366,353,312,331
E01000093,Barking and Dagenham 022B,178,202,180,155,126
E01000094,Barking and Dagenham 022C,123,126,91,73,58
E01000095,Barking and Dagenham 018E,485,519,538,467,398
E01000096,Barking and Dagenham 022D,262,256,271,201,172
E01000097,Barking and Dagenham 005D,116,120,110,145,114
E01000098,Barking and Dagenham 005E,124,180,144,133,118
E01000099,Barking and Dagenham 005F,113,115,137,155,139
E01000100,Barking and Dagenham 004B,107,108,83,99,97
E01000101,Barking and Dagenham 004C,99,102,116,124,102
E01000102,Barking and Dagenham 007G,113,93,108,111,102
E01000103,Barking and Dagenham 014A,158,182,112,123,126
E01000104,Barking and Dagenham 014B,239,234,178,183,195
E01000105,Barking and Dagenham 014C,323,287,245,261,271
E01000106,Barking and Dagenham 014D,256,292,185,230,192
E01000107,Barking and Dagenham 010C,73,111,50,57,68
E01000108,Barking and Dagenham 010D,138,129,91,130,144
E01000109,Barking and Dagenham 004D,105,127,104,125,106
E01000110,Barking and Dagenham 002C,100,147,108,78,68
E01000111,Barking and Dagenham 002D,161,174,149,139,122
E01000112,Barking and Dagenham 002E,131,148,139,164,138
E01000113,Barking and Dagenham 002F,176,160,166,155,151
E01000114,Barking and Dagenham 004E,209,221,213,173,186
E01000115,Barnet 009A,59,53,36,58,44
E01000116,Barnet 009B,81,88,95,101,83
E01000117,Barnet 010A,74,97,79,90,110
E01000118,Barnet 010B,84,62,83,94,75
E01000119,Barnet 009C,53,53,47,74,60
E01000120,Barnet 009D,49,57,54,73,51
E01000121,Barnet 010C,66,95,60,48,83
E01000122,Barnet 009E,52,46,65,58,56
E01000123,Barnet 010D,85,99,80,78,92
E01000124,Barnet 010E,159,168,164,149,190
E01000125,Barnet 024A,188,222,207,234,231
E01000126,Barnet 026A,77,119,112,78,62
E01000127,Barnet 024B,79,102,59,78,55
E01000128,Barnet 024C,103,113,106,97,86
E01000129,Barnet 024D,302,278,276,247,263
E01000130,Barnet 021A,79,105,93,65,76
