Codes,Names,all_ages_year_minus_3,all_ages_year_minus_2,all_ages_year_minus_1,all_ages_now,all_ages_2012
E01000001,City of London 001A,1504,1515,1450,1472,1469
E01000002,City of London 001B,1417,1412,1410,1438,1469
E01000003,City of London 001C,1499,1476,1370,1348,1421
E01000004,City of London 001D,1962,1971,2049,2167,2231
E01000005,City of London 001E,1047,1098,1059,987,1014
E01000006,Barking and Dagenham 016A,1818,1632,1702,1731,1794
E01000007,Barking and Dagenham 015A,1104,1102,1264,1417,1478
E01000008,Barking and Dagenham 015B,1501,1447,1564,1569,1615
E01000009,Barking and Dagenham 016B,1617,1562,1687,1798,1839
E01000010,Barking and Dagenham 015C,1686,2007,2493,2889,3120
E01000011,Barking and Dagenham 016C,1495,1430,1550,1655,1679
E01000012,Barking and Dagenham 015D,1553,1673,1812,1943,2007
E01000013,Barking and Dagenham 013A,1534,1629,1655,1668,1725
E01000014,Barking and Dagenham 013B,1598,1635,1676,1667,1669
E01000015,Barking and Dagenham 009A,1955,2133,2232,2271,2337
E01000016,Barking and Dagenham 009B,1613,1638,1653,1646,1652
E01000017,Barking and Dagenham 009C,1521,1590,1591,1602,1622
E01000018,Barking and Dagenham 009D,1565,1597,1613,1608,1669
E01000019,Barking and Dagenham 005A,1397,1412,1421,1410,1432
E01000020,Barking and Dagenham 005B,1787,1834,1820,1843,1870
E01000021,Barking and Dagenham 008A,1497,1525,1562,1588,1601
E01000022,Barking and Dagenham 008B,1352,1362,1348,1315,1348
E01000023,Barking and Dagenham 008C,1278,893,967,1130,1456
E01000024,Barking and Dagenham 008D,1269,1331,1312,1342,1337
E01000025,Barking and Dagenham 008E,1498,1603,1604,1609,1602
E01000026,Barking and Dagenham 005C,1261,1262,1305,1361,1390
E01000027,Barking and Dagenham 001A,1564,1617,1658,1710,1728
E01000028,Barking and Dagenham 001B,1470,1530,1529,1553,1563
E01000029,Barking and Dagenham 001C,1551,1593,1568,1591,1586
E01000030,Barking and Dagenham 001D,1784,1830,1881,1929,1976
E01000031,Barking and Dagenham 002A,1556,1628,1648,1617,1625
E01000032,Barking and Dagenham 002B,1595,1653,1640,1641,1643
E01000033,Barking and Dagenham 006A,1310,1328,1338,1366,1416
E01000034,Barking and Dagenham 003A,1464,1494,1476,1436,1508
E01000035,Barking and Dagenham 010A,1527,1576,1610,1613,1651
E01000036,Barking and Dagenham 010B,1298,1368,1354,1354,1392
E01000037,Barking and Dagenham 003B,1613,1669,1682,1703,1730
E01000038,Barking and Dagenham 003C,1429,1450,1462,1443,1450
E01000039,Barking and Dagenham 003D,1578,1655,1617,1603,1620
E01000040,Barking and Dagenham 019A,1405,1463,1487,1579,1584
E01000041,Barking and Dagenham 017A,1574,1612,1693,1687,1686
E01000042,Barking and Dagenham 017B,1685,1720,1767,1803,1826
E01000043,Barking and Dagenham 019B,1251,1305,1334,1370,1342
E01000044,Barking and Dagenham 016D,1637,1677,1759,1812,1822
E01000045,Barking and Dagenham 017C,1566,1584,1678,1659,1657
E01000046,Barking and Dagenham 017D,1646,1695,1737,1785,1800
E01000047,Barking and Dagenham 021A,2521,2714,3039,3301,3477
E01000048,Barking and Dagenham 021B,1724,1725,1776,1795,1753
E01000049,Barking and Dagenham 021C,1755,1661,1769,1832,1871
E01000050,Barking and Dagenham 019C,1551,1549,1629,1678,1717
E01000051,Barking and Dagenham 021D,1899,1880,1970,1945,1858
E01000052,Barking and Dagenham 019D,1782,1816,1942,2039,2128
E01000053,Barking and Dagenham 020A,1464,1471,1494,1493,1568
E01000054,Barking and Dagenham 018A,1604,1695,1718,1731,1713
E01000055,Barking and Dagenham 018B,1507,1516,1580,1564,1603
E01000056,Barking and Dagenham 018C,1486,1504,1533,1594,1600
E01000057,Barking and Dagenham 012A,1376,1432,1484,1505,1480
E01000058,Barking and Dagenham 018D,1614,1686,1797,1864,1895
E01000059,Barking and Dagenham 013C,1532,1575,1575,1581,1562
E01000060,Barking and Dagenham 006B,1691,1738,1767,1814,1836
E01000061,Barking and Dagenham 006C,1729,1776,1777,1792,1815
E01000062,Barking and Dagenham 006D,1773,1858,1912,1954,1999
E01000063,Barking and Dagenham 004A,1600,1623,1626,1629,1639
E01000064,Barking and Dagenham 006E,1642,1694,1777,1897,2010
E01000065,Barking and Dagenham 007A,1704,1762,1743,1734,1707
E01000066,Barking and Dagenham 011A,1695,1781,1879,1941,1943
E01000067,Barking and Dagenham 011B,1758,1850,1932,1985,2042
E01000068,Barking and Dagenham 016E,1291,1479,1578,1605,1598
E01000069,Barking and Dagenham 011C,1622,1654,1718,1777,1765
E01000070,Barking and Dagenham 011D,1765,1848,1907,1987,1963
E01000071,Barking and Dagenham 011E,2024,2109,2170,2272,2340
E01000072,Barking and Dagenham 017E,1802,1865,1913,2006,2057
E01000073,Barking and Dagenham 012B,1500,1542,1594,1618,1649
E01000074,Barking and Dagenham 012C,1504,1558,1549,1577,1583
E01000075,Barking and Dagenham 012D,1649,1750,1721,1738,1754
E01000076,Barking and Dagenham 012E,1760,1842,1915,1994,2006
E01000077,Barking and Dagenham 008F,1397,1394,1410,1452,1519
E01000078,Barking and Dagenham 007B,1548,1611,1678,1681,1659
E01000079,Barking and Dagenham 009E,1467,1510,1538,1553,1579
E01000080,Barking and Dagenham 007C,1440,1493,1524,1565,1586
E01000081,Barking and Dagenham 007D,1572,1659,1657,1698,1704
E01000082,Barking and Dagenham 007E,1622,1678,1666,1686,1709
E01000083,Barking and Dagenham 007F,1610,1669,1681,1703,1717
E01000084,Barking and Dagenham 013D,1270,1304,1297,1358,1377
E01000085,Barking and Dagenham 013E,1524,1621,1675,1720,1727
E01000086,Barking and Dagenham 013F,1382,1429,1445,1439,1431
E01000087,Barking and Dagenham 020B,1261,1288,1337,1348,1377
E01000088,Barking and Dagenham 020C,1691,1723,1791,1840,1905
E01000089,Barking and Dagenham 020D,1586,1612,1633,1676,1769
E01000090,Barking and Dagenham 020E,1481,1525,1532,1594,1602
E01000091,Barking and Dagenham 022A,1512,1599,1664,1722,1780
E01000092,Barking and Dagenham 019E,2313,2471,2548,2694,2916
E01000093,Barking and Dagenham 022B,1438,1489,1544,1564,1633
E01000094,Barking and Dagenham 022C,1355,1277,1272,1338,1340
E01000095,Barking and Dagenham 018E,1457,1510,1557,1584,1683
E01000096,Barking and Dagenham 022D,1828,1863,1927,1903,1768
E01000097,Barking and Dagenham 005D,1589,1616,1652,1679,1684
E01000098,Barking and Dagenham 005E,1633,1713,1733,1752,1810
