Codes,Names,drugs_year_minus_3,drugs_year_minus_2,drugs_year_minus_1,drugs_now,drugs_2012
E01000001,City of London 001A,n/a,n/a,n/a,n/a,n/a
E01000002,City of London 001B,n/a,n/a,n/a,n/a,n/a
E01000003,City of London 001C,n/a,n/a,n/a,n/a,n/a
E01000004,City of London 001D,n/a,n/a,n/a,n/a,n/a
E01000005,City of London 001E,n/a,n/a,n/a,n/a,n/a
E01000006,Barking and Dagenham 016A,8,6,14,9,4
E01000007,Barking and Dagenham 015A,70,45,44,30,33
E01000008,Barking and Dagenham 015B,15,23,13,17,9
E01000009,Barking and Dagenham 016B,65,62,73,46,45
E01000010,Barking and Dagenham 015C,99,101,123,70,75
E01000011,Barking and Dagenham 016C,13,22,9,15,2
E01000012,Barking and Dagenham 015D,15,15,11,10,19
E01000013,Barking and Dagenham 013A,41,30,25,19,41
E01000014,Barking and Dagenham 013B,13,4,4,3,5
E01000015,Barking and Dagenham 009A,5,9,8,4,11
E01000016,Barking and Dagenham 009B,6,3,7,3,3
E01000017,Barking and Dagenham 009C,23,9,12,10,3
E01000018,Barking and Dagenham 009D,2,2,4,6,4
E01000019,Barking and Dagenham 005A,6,6,5,2,1
E01000020,Barking and Dagenham 005B,6,8,5,3,5
E01000021,Barking and Dagenham 008A,19,15,19,15,21
E01000022,Barking and Dagenham 008B,2,7,1,3,6
E01000023,Barking and Dagenham 008C,33,12,18,17,26
E01000024,Barking and Dagenham 008D,1,5,1,6,4
E01000025,Barking and Dagenham 008E,4,2,4,6,5
E01000026,Barking and Dagenham 005C,8,8,5,7,7
E01000027,Barking and Dagenham 001A,13,7,10,6,5
E01000028,Barking and Dagenham 001B,12,3,3,2,7
E01000029,Barking and Dagenham 001C,4,5,4,3,4
E01000030,Barking and Dagenham 001D,23,13,10,3,8
E01000031,Barking and Dagenham 002A,14,1,9,3,3
E01000032,Barking and Dagenham 002B,17,13,7,9,7
E01000033,Barking and Dagenham 006A,14,7,8,5,9
E01000034,Barking and Dagenham 003A,6,5,4,10,11
E01000035,Barking and Dagenham 010A,33,11,12,11,12
E01000036,Barking and Dagenham 010B,17,14,11,5,5
E01000037,Barking and Dagenham 003B,2,5,9,5,2
E01000038,Barking and Dagenham 003C,1,0,7,5,3
E01000039,Barking and Dagenham 003D,3,3,3,3,1
E01000040,Barking and Dagenham 019A,23,8,8,7,7
E01000041,Barking and Dagenham 017A,3,2,0,6,0
E01000042,Barking and Dagenham 017B,17,6,18,6,4
E01000043,Barking and Dagenham 019B,6,2,5,9,9
E01000044,Barking and Dagenham 016D,10,12,4,15,18
E01000045,Barking and Dagenham 017C,11,8,9,12,14
E01000046,Barking and Dagenham 017D,3,5,5,4,4
E01000047,Barking and Dagenham 021A,52,54,81,78,48
E01000048,Barking and Dagenham 021B,18,9,12,10,10
E01000049,Barking and Dagenham 021C,17,6,17,14,19
E01000050,Barking and Dagenham 019C,14,8,21,25,10
E01000051,Barking and Dagenham 021D,13,9,4,5,6
E01000052,Barking and Dagenham 019D,11,6,13,9,15
E01000053,Barking and Dagenham 020A,11,11,6,5,6
E01000054,Barking and Dagenham 018A,6,3,8,0,2
E01000055,Barking and Dagenham 018B,7,1,2,4,1
E01000056,Barking and Dagenham 018C,3,6,8,10,9
E01000057,Barking and Dagenham 012A,10,4,4,6,2
E01000058,Barking and Dagenham 018D,4,2,3,6,4
E01000059,Barking and Dagenham 013C,6,2,6,3,0
E01000060,Barking and Dagenham 006B,33,12,15,9,14
