Borough name,Ward Code,Ward name,,,happiness_coefficient_year_minus_3,happiness_coefficient_year_minus_2,happiness_coefficient_year_minus_1,happiness_coefficient_now,happiness_coefficient_2012
City of London,E09000001,City of London,,,10,8,9,8,8
Barking and Dagenham,E05000026,Abbey,,,-3,-2,-2,-3,-4
Barking and Dagenham,E05000027,Alibon,,,-9,-8,-8,-8,-10
Barking and Dagenham,E05000028,Becontree,,,-7,-8,-8,-8,-10
Barking and Dagenham,E05000029,Chadwell Heath,,,-7,-12,-8,-10,-11
Barking and Dagenham,E05000030,Eastbrook,,,-3,-1,-3,-2,-5
Barking and Dagenham,E05000031,Eastbury,,,-5,-6,-5,-6,-8
Barking and Dagenham,E05000032,Gascoigne,,,-9,-10,-10,-10,-9
Barking and Dagenham,E05000033,Goresbrook,,,-10,-8,-8,-10,-6
Barking and Dagenham,E05000034,Heath,,,-8,-9,-9,-10,-9
Barking and Dagenham,E05000035,Longbridge,,,4,2,1,2,1
Barking and Dagenham,E05000036,Mayesbrook,,,-8,-8,-6,-7,-9
Barking and Dagenham,E05000037,Parsloes,,,-5,-6,-6,-5,-8
Barking and Dagenham,E05000038,River,,,-5,-5,-6,-7,-8
Barking and Dagenham,E05000039,Thames,,,-11,-8,-10,-9,-8
Barking and Dagenham,E05000040,Valence,,,-7,-7,-8,-7,-9
Barking and Dagenham,E05000041,Village,,,-11,-9,-11,-12,-10
Barking and Dagenham,E05000042,Whalebone,,,-4,-3,-4,-4,-4
Barnet,E05000043,Brunswick Park,,,5,5,4,5,4
Barnet,E05000044,Burnt Oak,,,-6,-5,-5,-5,-6
Barnet,E05000045,Childs Hill,,,0,0,0,-1,1
Barnet,E05000046,Colindale,,,-3,-4,-4,-3,-2
Barnet,E05000047,Coppetts,,,-1,-1,-2,-1,-1
Barnet,E05000048,East Barnet,,,4,4,2,2,3
Barnet,E05000049,East Finchley,,,3,2,0,1,2
Barnet,E05000050,Edgware,,,0,1,0,1,1
Barnet,E05000051,Finchley Church End,,,6,4,5,4,6
Barnet,E05000052,Garden Suburb,,,11,11,10,11,9
Barnet,E05000053,Golders Green,,,2,2,1,0,1
Barnet,E05000054,Hale,,,0,0,0,0,0
Barnet,E05000055,Hendon,,,2,1,0,1,1
Barnet,E05000056,High Barnet,,,6,6,6,6,6
Barnet,E05000057,Mill Hill,,,3,3,3,4,2
Barnet,E05000058,Oakleigh,,,4,5,3,3,3
Barnet,E05000059,Totteridge,,,9,8,8,8,8
Barnet,E05000060,Underhill,,,1,2,0,-1,-2
Barnet,E05000061,West Finchley,,,3,3,3,3,3
Barnet,E05000062,West Hendon,,,0,0,0,1,2
Barnet,E05000063,Woodhouse,,,2,2,1,1,0
Bexley,E05000064,Barnehurst,,,3,3,4,3,4
Bexley,E05000065,Belvedere,,,-2,-1,-1,0,-3
Bexley,E05000066,Blackfen and Lamorbey,,,7,7,7,7,7
Bexley,E05000067,Blendon and Penhill,,,7,8,6,7,8
Bexley,E05000068,Brampton,,,5,5,6,5,6
Bexley,E05000069,Christchurch,,,3,4,4,5,4
Bexley,E05000070,Colyers,,,-4,-4,-3,-4,-4
Bexley,E05000071,Crayford,,,-3,-3,-2,-2,-1
Bexley,E05000072,Cray Meadows,,,-1,-2,0,0,1
Bexley,E05000073,Danson Park,,,7,5,5,5,5
Bexley,E05000074,East Wickham,,,1,1,1,2,3
Bexley,E05000075,Erith,,,-3,-2,-3,-3,-3
Bexley,E05000076,Falconwood and Welling,,,5,6,4,6,5
Bexley,E05000077,Lesnes Abbey,,,-1,0,0,2,1
Bexley,E05000078,Longlands,,,7,5,6,7,6
Bexley,E05000079,North End,,,-13,-14,-9,-12,-8
Bexley,E05000080,Northumberland Heath,,,2,3,3,2,0
Bexley,E05000081,St Mary's,,,10,10,10,10,9
Bexley,E05000082,St Michael's,,,3,3,4,4,4
Bexley,E05000083,Sidcup,,,7,6,6,7,8
Bexley,E05000084,Thamesmead East,,,-6,-7,-5,-4,-3
Brent,E05000085,Alperton,,,0,1,-1,0,-1
Brent,E05000086,Barnhill,,,-1,-2,-2,-2,-3
Brent,E05000087,Brondesbury Park,,,2,1,0,-2,-2
Brent,E05000088,Dollis Hill,,,-2,-1,-3,-3,-1
Brent,E05000089,Dudden Hill,,,-3,-2,-3,-4,-4
Brent,E05000090,Fryent,,,3,4,3,2,3
Brent,E05000091,Harlesden,,,-10,-11,-12,-12,-13
Brent,E05000092,Kensal Green,,,-4,-5,-7,-7,-5
Brent,E05000093,Kenton,,,6,6,7,6,5
Brent,E05000094,Kilburn,,,-8,-9,-8,-8,-6
Brent,E05000095,Mapesbury,,,-2,0,-2,-2,-3
Brent,E05000096,Northwick Park,,,4,4,4,3,3
Brent,E05000097,Preston,,,2,1,1,0,-1
Brent,E05000098,Queens Park,,,1,1,0,0,2
Brent,E05000099,Queensbury,,,2,2,1,2,2
Brent,E05000100,Stonebridge,,,-12,-12,-13,-13,-11
Brent,E05000101,Sudbury,,,2,2,1,1,0
Brent,E05000102,Tokyngton,,,0,-1,-1,0,-3
Brent,E05000103,Welsh Harp,,,-1,-1,-2,-1,-3
Brent,E05000104,Wembley Central,,,-2,-2,-2,-1,0
Brent,E05000105,Willesden Green,,,-3,-4,-6,-4,-5
Bromley,E05000106,Bickley,,,7,7,7,7,8
Bromley,E05000107,Biggin Hill,,,7,8,7,6,5
Bromley,E05000108,Bromley Common and Keston,,,7,7,6,5,7
Bromley,E05000109,Bromley Town,,,4,5,5,5,7
Bromley,E05000110,Chelsfield and Pratts Bottom,,,9,9,8,9,8
Bromley,E05000111,Chislehurst,,,7,6,6,4,7
Bromley,E05000112,Clock House,,,4,3,4,4,4
Bromley,E05000113,Copers Cope,,,3,4,3,3,4
Bromley,E05000114,Cray Valley East,,,-8,-7,-11,-10,-7
Bromley,E05000115,Cray Valley West,,,-7,-6,-9,-7,-5
Bromley,E05000116,Crystal Palace,,,-8,-8,-11,-8,-4
Bromley,E05000117,Darwin,,,4,6,4,5,4
Bromley,E05000118,Farnborough and Crofton,,,10,10,10,11,7
Bromley,E05000119,Hayes and Coney Hall,,,12,12,11,12,11
Bromley,E05000120,Kelsey and Eden Park,,,7,7,6,7,7
Bromley,E05000121,Mottingham and Chislehurst North,,,-6,-8,-5,-8,-7
Bromley,E05000122,Orpington,,,0,2,2,0,0
Bromley,E05000123,Penge and Cator,,,-4,-4,-5,-3,-3
Bromley,E05000124,Petts Wood and Knoll,,,11,11,11,10,10
Bromley,E05000125,Plaistow and Sundridge,,,1,2,0,0,3
Bromley,E05000126,Shortlands,,,10,10,10,11,11
Bromley,E05000127,West Wickham,,,11,11,10,11,12
Camden,E05000128,Belsize,,,5,4,2,3,3
Camden,E05000129,Bloomsbury,,,5,4,5,5,3
Camden,E05000130,Camden Town with Primrose Hill,,,-2,-1,-2,-3,-2
Camden,E05000131,Cantelowes,,,-2,-1,-4,-2,-3
Camden,E05000132,Fortune Green,,,-1,0,-1,-2,2
Camden,E05000133,Frognal and Fitzjohns,,,8,8,7,8,8
Camden,E05000134,Gospel Oak,,,-4,-4,-5,-3,-2
Camden,E05000135,Hampstead Town,,,8,6,4,8,9
Camden,E05000136,Haverstock,,,-8,-7,-7,-7,-6
Camden,E05000137,Highgate,,,4,3,2,5,2
Camden,E05000138,Holborn and Covent Garden,,,0,0,0,1,0
Camden,E05000139,Kentish Town,,,-3,-2,-3,-1,-2
Camden,E05000140,Kilburn,,,-7,-9,-8,-8,-7
Camden,E05000141,King's Cross,,,-3,-1,-3,0,0
Camden,E05000142,Regent's Park,,,-3,-3,-2,-1,-1
Camden,E05000143,St Pancras and Somers Town,,,-6,-4,-5,-3,-4
Camden,E05000144,Swiss Cottage,,,2,2,3,2,4
Camden,E05000145,West Hampstead,,,0,1,1,0,1
Croydon,E05000146,Addiscombe,,,-2,0,-2,-1,-3
Croydon,E05000147,Ashburton,,,-1,-1,-1,-1,-2
Croydon,E05000148,Bensham Manor,,,-2,-3,-4,-3,-4
Croydon,E05000149,Broad Green,,,-7,-7,-9,-9,-10
Croydon,E05000150,Coulsdon East,,,6,8,7,8,7
Croydon,E05000151,Coulsdon West,,,5,4,6,5,6
Croydon,E05000152,Croham,,,3,4,3,1,0
Croydon,E05000153,Fairfield,,,-1,0,0,-2,-2
Croydon,E05000154,Fieldway,,,-21,-13,-14,-15,-14
Croydon,E05000155,Heathfield,,,3,2,2,2,2
Croydon,E05000156,Kenley,,,3,3,3,3,4
Croydon,E05000157,New Addington,,,-11,-9,-10,-11,-10
Croydon,E05000158,Norbury,,,2,1,1,0,-1
Croydon,E05000159,Purley,,,5,4,4,4,4
Croydon,E05000160,Sanderstead,,,8,7,7,7,8
Croydon,E05000161,Selhurst,,,-7,-8,-9,-9,-9
Croydon,E05000162,Selsdon and Ballards,,,8,9,8,8,8
Croydon,E05000163,Shirley,,,4,3,1,2,1
Croydon,E05000164,South Norwood,,,-3,-3,-4,-4,-7
Croydon,E05000165,Thornton Heath,,,-8,-9,-9,-9,-7
