Code,Name,mean_income_year_minus_3,mean_income_year_minus_2,mean_income_year_minus_1,mean_income_now,mean_income_2012,median_income_year_minus_3,median_income_year_minus_2,median_income_year_minus_1,median_income_now,median_income_2012
E01000001,City of London 001A,95560.00,95730.00,99460.00,103120.00,105400.00,58110.00,60720.00,62420.00,65520.00,66790.00
E01000002,City of London 001B,96120.00,96580.00,100630.00,104640.00,107250.00,58390.00,61160.00,63030.00,66300.00,67750.00
E01000003,City of London 001C,75340.00,75790.00,79080.00,82340.00,84510.00,47480.00,49800.00,51390.00,54140.00,55390.00
E01000005,City of London 001E,64060.00,64420.00,67210.00,69980.00,71840.00,40990.00,42980.00,44360.00,46740.00,47840.00
E01032739,City of London 001F,90990.00,90870.00,94140.00,97330.00,99220.00,55800.00,58160.00,59650.00,62460.00,63530.00
E01032740,City of London 001G,88100.00,88600.00,92400.00,96160.00,98630.00,54310.00,56940.00,58730.00,61830.00,63220.00
E01000006,Barking and Dagenham 016A,40110.00,40270.00,41950.00,43610.00,44700.00,33640.00,35230.00,36300.00,38200.00,39040.00
E01000007,Barking and Dagenham 015A,34400.00,34610.00,36140.00,37660.00,38690.00,28780.00,30220.00,31230.00,32940.00,33760.00
E01000008,Barking and Dagenham 015B,33150.00,33270.00,34650.00,36020.00,36930.00,27670.00,28970.00,29860.00,31430.00,32130.00
E01000009,Barking and Dagenham 016B,37240.00,37290.00,38750.00,40190.00,41100.00,31240.00,32640.00,33550.00,35230.00,35930.00
E01000010,Barking and Dagenham 015C,36270.00,36650.00,38400.00,40150.00,41380.00,30420.00,32060.00,33250.00,35190.00,36170.00
E01000011,Barking and Dagenham 016C,36550.00,36700.00,38220.00,39740.00,40740.00,30650.00,32110.00,33090.00,34830.00,35610.00
E01000012,Barking and Dagenham 015D,35610.00,35710.00,37150.00,38580.00,39510.00,29850.00,31220.00,32130.00,33780.00,34500.00
E01000013,Barking and Dagenham 013A,34680.00,34890.00,36410.00,37920.00,38940.00,29030.00,30470.00,31470.00,33190.00,33990.00
E01000014,Barking and Dagenham 013B,34610.00,34720.00,36150.00,37550.00,38470.00,28970.00,30320.00,31230.00,32850.00,33560.00
E01000015,Barking and Dagenham 009A,34160.00,34320.00,35760.00,37200.00,38140.00,28570.00,29950.00,30880.00,32520.00,33260.00
E01000016,Barking and Dagenham 009B,35240.00,35450.00,36980.00,38510.00,39530.00,29520.00,30980.00,31990.00,33720.00,34520.00
E01000017,Barking and Dagenham 009C,34610.00,34820.00,36340.00,37850.00,38860.00,28970.00,30410.00,31410.00,33120.00,33910.00
E01000018,Barking and Dagenham 009D,35250.00,35460.00,37010.00,38540.00,39560.00,29530.00,30990.00,32010.00,33750.00,34560.00
E01000019,Barking and Dagenham 023A,35690.00,35840.00,37330.00,38810.00,39780.00,29920.00,31340.00,32300.00,33990.00,34750.00
E01000020,Barking and Dagenham 023B,35490.00,35730.00,37320.00,38890.00,39950.00,29740.00,31240.00,32290.00,34070.00,34910.00
E01000021,Barking and Dagenham 008A,34190.00,34150.00,35390.00,36620.00,37360.00,28600.00,29790.00,30540.00,31980.00,32540.00
E01000022,Barking and Dagenham 008B,36230.00,36350.00,37840.00,39310.00,40270.00,30380.00,31800.00,32750.00,34440.00,35190.00
E01000023,Barking and Dagenham 008C,36200.00,36270.00,37700.00,39120.00,40020.00,30360.00,31720.00,32630.00,34270.00,34970.00
E01000024,Barking and Dagenham 008D,35600.00,35710.00,37170.00,38610.00,39540.00,29840.00,31220.00,32150.00,33810.00,34530.00
E01000025,Barking and Dagenham 008E,35350.00,35540.00,37070.00,38580.00,39600.00,29620.00,31070.00,32060.00,33790.00,34580.00
E01000027,Barking and Dagenham 001A,34000.00,34290.00,35870.00,37450.00,38540.00,28430.00,29920.00,30980.00,32750.00,33620.00
E01000028,Barking and Dagenham 001B,33610.00,33700.00,35050.00,36400.00,37270.00,28080.00,29370.00,30230.00,31780.00,32450.00
E01000029,Barking and Dagenham 001C,37820.00,37790.00,39180.00,40540.00,41370.00,31740.00,33070.00,33930.00,35540.00,36170.00
E01000030,Barking and Dagenham 001D,33350.00,33540.00,35000.00,36460.00,37440.00,27840.00,29220.00,30180.00,31830.00,32610.00
E01000031,Barking and Dagenham 002A,40750.00,40670.00,42120.00,43550.00,44390.00,34160.00,35570.00,36450.00,38150.00,38780.00
E01000032,Barking and Dagenham 002B,38230.00,38310.00,39830.00,41330.00,42280.00,32080.00,33530.00,34500.00,36230.00,36970.00
E01000033,Barking and Dagenham 006A,35360.00,35520.00,37030.00,38520.00,39510.00,29620.00,31050.00,32030.00,33730.00,34510.00
E01000034,Barking and Dagenham 003A,38150.00,38280.00,39850.00,41400.00,42410.00,32010.00,33500.00,34510.00,36300.00,37080.00
E01000035,Barking and Dagenham 010A,39110.00,39240.00,40830.00,42410.00,43430.00,32810.00,34340.00,35360.00,37170.00,37960.00
E01000036,Barking and Dagenham 010B,40210.00,40440.00,42190.00,43920.00,45070.00,33720.00,35370.00,36510.00,38460.00,39360.00
E01000037,Barking and Dagenham 003B,42910.00,42990.00,44690.00,46360.00,47420.00,35890.00,37510.00,38580.00,40510.00,41330.00
E01000038,Barking and Dagenham 003C,40630.00,40680.00,42270.00,43830.00,44810.00,34060.00,35580.00,36570.00,38390.00,39140.00
E01000039,Barking and Dagenham 003D,41870.00,41660.00,43010.00,44330.00,45060.00,35070.00,36400.00,37190.00,38810.00,39350.00
E01000040,Barking and Dagenham 019A,34730.00,35060.00,36700.00,38350.00,39490.00,29080.00,30630.00,31740.00,33570.00,34490.00
E01000041,Barking and Dagenham 017A,34910.00,35150.00,36710.00,38270.00,39340.00,29230.00,30710.00,31740.00,33500.00,34350.00
E01000042,Barking and Dagenham 017B,33860.00,34020.00,35480.00,36920.00,37890.00,28300.00,29670.00,30620.00,32270.00,33030.00
E01000043,Barking and Dagenham 019B,36160.00,36290.00,37780.00,39250.00,40220.00,30320.00,31740.00,32700.00,34390.00,35140.00
E01000044,Barking and Dagenham 016D,37550.00,37550.00,38960.00,40350.00,41210.00,31510.00,32860.00,33740.00,35370.00,36020.00
E01000045,Barking and Dagenham 017C,35500.00,35730.00,37310.00,38890.00,39950.00,29750.00,31240.00,32280.00,34060.00,34910.00
E01000046,Barking and Dagenham 017D,34890.00,34990.00,36400.00,37800.00,38720.00,29220.00,30560.00,31460.00,33080.00,33790.00
E01000048,Barking and Dagenham 021B,29800.00,30020.00,31380.00,32740.00,33680.00,24570.00,25840.00,26740.00,28270.00,29020.00
E01000049,Barking and Dagenham 021C,31370.00,31610.00,33040.00,34470.00,35460.00,26040.00,27390.00,28350.00,29960.00,30750.00
E01000050,Barking and Dagenham 019C,33780.00,33930.00,35350.00,36770.00,37710.00,28230.00,29580.00,30510.00,32130.00,32860.00
E01000051,Barking and Dagenham 021D,29970.00,30180.00,31520.00,32870.00,33800.00,24730.00,25990.00,26890.00,28400.00,29150.00
E01000052,Barking and Dagenham 019D,34530.00,34580.00,35920.00,37260.00,38100.00,28900.00,30180.00,31030.00,32570.00,33220.00
E01000053,Barking and Dagenham 020A,35140.00,35150.00,36490.00,37820.00,38660.00,29430.00,30710.00,31550.00,33100.00,33730.00
E01000054,Barking and Dagenham 018A,35520.00,35820.00,37470.00,39110.00,40240.00,29770.00,31320.00,32420.00,34260.00,35160.00
E01000055,Barking and Dagenham 018B,35570.00,35830.00,37440.00,39050.00,40140.00,29810.00,31330.00,32400.00,34210.00,35070.00
E01000056,Barking and Dagenham 018C,35410.00,35620.00,37160.00,38700.00,39730.00,29670.00,31140.00,32150.00,33890.00,34710.00
E01000057,Barking and Dagenham 012A,35290.00,35550.00,37160.00,38750.00,39840.00,29570.00,31080.00,32140.00,33940.00,34810.00
E01000058,Barking and Dagenham 018D,35370.00,35800.00,37570.00,39340.00,40610.00,29640.00,31300.00,32520.00,34470.00,35490.00
E01000059,Barking and Dagenham 013C,34830.00,35080.00,36650.00,38220.00,39290.00,29160.00,30650.00,31690.00,33460.00,34310.00
E01000060,Barking and Dagenham 006B,34380.00,34620.00,36150.00,37670.00,38700.00,28770.00,30220.00,31240.00,32960.00,33770.00
E01000061,Barking and Dagenham 006C,31290.00,31280.00,32460.00,33620.00,34350.00,25960.00,27070.00,27790.00,29130.00,29680.00
E01000062,Barking and Dagenham 006D,35120.00,35330.00,36860.00,38380.00,39400.00,29420.00,30870.00,31880.00,33600.00,34410.00
E01000063,Barking and Dagenham 004A,34650.00,34780.00,36210.00,37640.00,38570.00,29000.00,30370.00,31290.00,32930.00,33650.00
E01000064,Barking and Dagenham 006E,34120.00,34240.00,35650.00,37050.00,37960.00,28540.00,29880.00,30780.00,32390.00,33090.00
E01000065,Barking and Dagenham 007A,33070.00,33150.00,34480.00,35790.00,36630.00,27600.00,28860.00,29700.00,31210.00,31860.00
E01000066,Barking and Dagenham 011A,41590.00,41530.00,43060.00,44570.00,45500.00,34840.00,36290.00,37230.00,39010.00,39730.00
E01000067,Barking and Dagenham 011B,42910.00,42800.00,44300.00,45790.00,46680.00,35890.00,37350.00,38260.00,40040.00,40710.00
E01000068,Barking and Dagenham 016E,43970.00,44100.00,45880.00,47640.00,48760.00,36730.00,38420.00,39540.00,41560.00,42420.00
E01000069,Barking and Dagenham 011C,45350.00,45280.00,46930.00,48560.00,49550.00,37790.00,39380.00,40390.00,42310.00,43070.00
E01000070,Barking and Dagenham 011D,44380.00,44180.00,45640.00,47090.00,47920.00,37040.00,38480.00,39350.00,41110.00,41740.00
E01000071,Barking and Dagenham 011E,43070.00,42840.00,44240.00,45620.00,46410.00,36020.00,37390.00,38210.00,39900.00,40490.00
E01000072,Barking and Dagenham 017E,33130.00,33120.00,34360.00,35600.00,36360.00,27650.00,28830.00,29590.00,31020.00,31600.00
E01000073,Barking and Dagenham 012B,34530.00,34780.00,36340.00,37890.00,38950.00,28900.00,30370.00,31410.00,33160.00,34000.00
E01000074,Barking and Dagenham 012C,34730.00,34910.00,36400.00,37880.00,38860.00,29080.00,30490.00,31460.00,33140.00,33920.00
E01000075,Barking and Dagenham 012D,35250.00,35480.00,37040.00,38600.00,39660.00,29530.00,31010.00,32040.00,33810.00,34640.00
E01000076,Barking and Dagenham 012E,33730.00,33910.00,35360.00,36810.00,37780.00,28190.00,29560.00,30520.00,32160.00,32930.00
E01000077,Barking and Dagenham 008F,34060.00,34100.00,35430.00,36760.00,37590.00,28480.00,29750.00,30580.00,32110.00,32750.00
E01000078,Barking and Dagenham 007B,34160.00,34280.00,35700.00,37100.00,38020.00,28570.00,29910.00,30820.00,32430.00,33150.00
E01000079,Barking and Dagenham 009E,34230.00,34350.00,35750.00,37150.00,38060.00,28640.00,29970.00,30880.00,32480.00,33180.00
E01000080,Barking and Dagenham 007C,34000.00,34110.00,35500.00,36880.00,37770.00,28430.00,29750.00,30640.00,32220.00,32920.00
E01000081,Barking and Dagenham 007D,34800.00,34990.00,36500.00,38000.00,39010.00,29130.00,30560.00,31560.00,33260.00,34050.00
E01000082,Barking and Dagenham 007E,34610.00,34900.00,36500.00,38090.00,39180.00,28970.00,30480.00,31550.00,33340.00,34210.00
E01000083,Barking and Dagenham 007F,34420.00,34610.00,36100.00,37580.00,38570.00,28800.00,30220.00,31190.00,32870.00,33650.00
E01000084,Barking and Dagenham 013D,35150.00,35310.00,36800.00,38290.00,39260.00,29440.00,30860.00,31830.00,33520.00,34280.00
E01000085,Barking and Dagenham 013E,33640.00,33700.00,35030.00,36340.00,37190.00,28100.00,29370.00,30210.00,31730.00,32380.00
E01000086,Barking and Dagenham 013F,35580.00,35860.00,37490.00,39110.00,40220.00,29820.00,31360.00,32440.00,34260.00,35140.00
E01000087,Barking and Dagenham 020B,35390.00,35580.00,37110.00,38630.00,39640.00,29650.00,31100.00,32100.00,33830.00,34620.00
E01000088,Barking and Dagenham 020C,37420.00,37580.00,39160.00,40710.00,41740.00,31400.00,32890.00,33910.00,35690.00,36490.00
E01000089,Barking and Dagenham 020D,36930.00,36990.00,38430.00,39850.00,40750.00,30980.00,32360.00,33270.00,34930.00,35620.00
E01000090,Barking and Dagenham 020E,37290.00,37450.00,39010.00,40550.00,41560.00,31290.00,32770.00,33780.00,35550.00,36330.00
E01000091,Barking and Dagenham 022A,32680.00,32780.00,34100.00,35420.00,36270.00,27250.00,28500.00,29350.00,30860.00,31520.00
E01000092,Barking and Dagenham 019E,36360.00,36580.00,38180.00,39770.00,40830.00,30490.00,32000.00,33050.00,34850.00,35690.00
E01000093,Barking and Dagenham 022B,32580.00,32760.00,34180.00,35590.00,36540.00,27150.00,28490.00,29420.00,31020.00,31770.00
E01000094,Barking and Dagenham 022C,37280.00,37460.00,39050.00,40630.00,41670.00,31270.00,32790.00,33820.00,35620.00,36430.00
E01000095,Barking and Dagenham 018E,38000.00,38060.00,39550.00,41020.00,41940.00,31890.00,33320.00,34250.00,35960.00,36670.00
