Codes,Names,robbery_year_minus_3,robbery_year_minus_2,robbery_year_minus_1,robbery_now,robbery_2012
E01000001,City of London 001A,n/a,n/a,n/a,n/a,n/a
E01000002,City of London 001B,n/a,n/a,n/a,n/a,n/a
E01000003,City of London 001C,n/a,n/a,n/a,n/a,n/a
E01000004,City of London 001D,n/a,n/a,n/a,n/a,n/a
E01000005,City of London 001E,n/a,n/a,n/a,n/a,n/a
E01000006,Barking and Dagenham 016A,6,6,10,9,4
E01000007,Barking and Dagenham 015A,18,37,22,23,19
E01000008,Barking and Dagenham 015B,12,12,10,6,1
E01000009,Barking and Dagenham 016B,32,28,36,30,18
E01000010,Barking and Dagenham 015C,41,42,49,46,28
E01000011,Barking and Dagenham 016C,3,7,6,4,5
E01000012,Barking and Dagenham 015D,10,15,19,10,12
E01000013,Barking and Dagenham 013A,18,20,12,25,19
E01000014,Barking and Dagenham 013B,1,1,0,5,3
E01000015,Barking and Dagenham 009A,3,4,2,14,3
E01000016,Barking and Dagenham 009B,1,6,9,3,3
E01000017,Barking and Dagenham 009C,3,5,3,5,5
E01000018,Barking and Dagenham 009D,0,2,1,2,2
E01000019,Barking and Dagenham 005A,3,3,6,2,3
E01000020,Barking and Dagenham 005B,0,0,8,4,6
E01000021,Barking and Dagenham 008A,11,9,11,9,7
E01000022,Barking and Dagenham 008B,0,4,2,5,1
E01000023,Barking and Dagenham 008C,14,12,12,7,6
E01000024,Barking and Dagenham 008D,2,7,5,6,0
E01000025,Barking and Dagenham 008E,1,0,6,8,1
E01000026,Barking and Dagenham 005C,14,17,8,19,7
E01000027,Barking and Dagenham 001A,7,7,6,4,1
E01000028,Barking and Dagenham 001B,2,3,12,6,2
E01000029,Barking and Dagenham 001C,6,5,12,9,2
E01000030,Barking and Dagenham 001D,9,8,15,11,5
E01000031,Barking and Dagenham 002A,5,9,7,9,7
E01000032,Barking and Dagenham 002B,9,18,20,28,11
E01000033,Barking and Dagenham 006A,4,6,1,8,3
E01000034,Barking and Dagenham 003A,2,3,3,4,4
E01000035,Barking and Dagenham 010A,6,9,9,9,8
E01000036,Barking and Dagenham 010B,6,1,2,5,2
E01000037,Barking and Dagenham 003B,4,3,4,2,3
E01000038,Barking and Dagenham 003C,0,0,3,4,2
E01000039,Barking and Dagenham 003D,1,1,0,2,1
E01000040,Barking and Dagenham 019A,7,7,8,4,7
E01000041,Barking and Dagenham 017A,4,4,5,1,1
E01000042,Barking and Dagenham 017B,2,7,13,6,4
E01000043,Barking and Dagenham 019B,3,5,3,6,3
E01000044,Barking and Dagenham 016D,5,9,11,11,11
E01000045,Barking and Dagenham 017C,13,8,11,14,11
E01000046,Barking and Dagenham 017D,1,4,5,4,4
E01000047,Barking and Dagenham 021A,17,18,18,14,14
E01000048,Barking and Dagenham 021B,5,9,5,6,1
E01000049,Barking and Dagenham 021C,8,4,7,8,6
E01000050,Barking and Dagenham 019C,8,9,16,14,11
E01000051,Barking and Dagenham 021D,3,6,6,8,6
E01000052,Barking and Dagenham 019D,4,9,8,13,5
E01000053,Barking and Dagenham 020A,11,7,10,11,7
E01000054,Barking and Dagenham 018A,0,2,6,0,4
E01000055,Barking and Dagenham 018B,5,2,0,10,6
E01000056,Barking and Dagenham 018C,13,21,14,27,7
E01000057,Barking and Dagenham 012A,4,7,2,7,3
E01000058,Barking and Dagenham 018D,2,5,0,2,3
E01000059,Barking and Dagenham 013C,1,2,0,7,1
E01000060,Barking and Dagenham 006B,17,14,8,23,14
