Codes,Names,theft_year_minus_3,theft_year_minus_2,theft_year_minus_1,theft_now,theft_2012
E01000001,City of London 001A,n/a,n/a,n/a,n/a,n/a
E01000002,City of London 001B,n/a,n/a,n/a,n/a,n/a
E01000003,City of London 001C,n/a,n/a,n/a,n/a,n/a
E01000004,City of London 001D,n/a,n/a,n/a,n/a,n/a
E01000005,City of London 001E,n/a,n/a,n/a,n/a,n/a
E01000006,Barking and Dagenham 016A,37,24,37,38,40
E01000007,Barking and Dagenham 015A,102,88,92,116,112
E01000008,Barking and Dagenham 015B,74,63,92,65,42
E01000009,Barking and Dagenham 016B,70,53,80,96,76
E01000010,Barking and Dagenham 015C,529,579,573,577,598
E01000011,Barking and Dagenham 016C,24,26,31,27,29
E01000012,Barking and Dagenham 015D,59,59,58,56,52
E01000013,Barking and Dagenham 013A,70,94,93,105,97
E01000014,Barking and Dagenham 013B,21,23,23,30,33
E01000015,Barking and Dagenham 009A,32,42,37,34,42
E01000016,Barking and Dagenham 009B,42,35,36,41,27
E01000017,Barking and Dagenham 009C,28,23,26,30,22
E01000018,Barking and Dagenham 009D,29,27,18,26,23
E01000019,Barking and Dagenham 005A,22,20,39,34,27
E01000020,Barking and Dagenham 005B,38,39,52,44,64
E01000021,Barking and Dagenham 008A,45,42,53,45,51
E01000022,Barking and Dagenham 008B,20,25,12,25,21
E01000023,Barking and Dagenham 008C,30,35,35,51,58
E01000024,Barking and Dagenham 008D,22,26,23,22,19
E01000025,Barking and Dagenham 008E,23,27,21,33,27
E01000026,Barking and Dagenham 005C,84,75,77,96,93
E01000027,Barking and Dagenham 001A,60,69,53,33,40
E01000028,Barking and Dagenham 001B,29,24,32,43,30
E01000029,Barking and Dagenham 001C,33,30,29,29,23
E01000030,Barking and Dagenham 001D,103,78,124,130,87
E01000031,Barking and Dagenham 002A,62,62,50,46,49
E01000032,Barking and Dagenham 002B,70,75,95,61,61
E01000033,Barking and Dagenham 006A,17,23,34,26,31
E01000034,Barking and Dagenham 003A,35,43,30,42,31
E01000035,Barking and Dagenham 010A,86,72,61,84,61
E01000036,Barking and Dagenham 010B,23,25,28,41,19
E01000037,Barking and Dagenham 003B,21,19,23,29,19
E01000038,Barking and Dagenham 003C,34,25,24,19,19
E01000039,Barking and Dagenham 003D,17,15,9,19,21
E01000040,Barking and Dagenham 019A,43,55,56,61,40
E01000041,Barking and Dagenham 017A,28,25,34,22,18
E01000042,Barking and Dagenham 017B,48,37,74,40,47
E01000043,Barking and Dagenham 019B,46,32,51,46,29
E01000044,Barking and Dagenham 016D,47,47,56,41,23
E01000045,Barking and Dagenham 017C,61,69,96,62,62
E01000046,Barking and Dagenham 017D,17,32,35,35,43
E01000047,Barking and Dagenham 021A,211,194,278,170,282
E01000048,Barking and Dagenham 021B,17,17,18,24,19
E01000049,Barking and Dagenham 021C,60,39,53,41,86
E01000050,Barking and Dagenham 019C,28,30,53,41,45
E01000051,Barking and Dagenham 021D,45,19,27,38,30
E01000052,Barking and Dagenham 019D,47,48,52,85,68
E01000053,Barking and Dagenham 020A,30,43,52,64,47
E01000054,Barking and Dagenham 018A,23,22,34,26,38
E01000055,Barking and Dagenham 018B,22,35,41,36,36
E01000056,Barking and Dagenham 018C,48,48,50,60,55
E01000057,Barking and Dagenham 012A,71,63,60,34,35
E01000058,Barking and Dagenham 018D,33,21,36,36,33
E01000059,Barking and Dagenham 013C,22,26,34,37,28
E01000060,Barking and Dagenham 006B,105,83,106,145,128
