Codes,Names,violence_year_minus_3,violence_year_minus_2,violence_year_minus_1,violence_now,violence_2012
E01000001,City of London 001A,n/a,n/a,n/a,n/a,n/a
E01000002,City of London 001B,n/a,n/a,n/a,n/a,n/a
E01000003,City of London 001C,n/a,n/a,n/a,n/a,n/a
E01000004,City of London 001D,n/a,n/a,n/a,n/a,n/a
E01000005,City of London 001E,n/a,n/a,n/a,n/a,n/a
E01000006,Barking and Dagenham 016A,34,25,26,20,23
E01000007,Barking and Dagenham 015A,117,133,118,108,94
E01000008,Barking and Dagenham 015B,41,42,51,31,25
E01000009,Barking and Dagenham 016B,93,83,61,86,57
E01000010,Barking and Dagenham 015C,258,279,254,239,194
E01000011,Barking and Dagenham 016C,36,41,34,31,32
E01000012,Barking and Dagenham 015D,36,64,41,36,50
E01000013,Barking and Dagenham 013A,103,85,68,76,78
E01000014,Barking and Dagenham 013B,43,27,38,32,31
E01000015,Barking and Dagenham 009A,56,67,70,59,43
E01000016,Barking and Dagenham 009B,30,41,32,22,35
E01000017,Barking and Dagenham 009C,18,23,37,23,22
E01000018,Barking and Dagenham 009D,24,37,39,31,29
E01000019,Barking and Dagenham 005A,28,27,25,18,24
E01000020,Barking and Dagenham 005B,28,37,38,37,25
E01000021,Barking and Dagenham 008A,51,62,37,47,42
E01000022,Barking and Dagenham 008B,31,18,30,18,16
E01000023,Barking and Dagenham 008C,38,37,24,39,32
E01000024,Barking and Dagenham 008D,21,20,20,10,14
E01000025,Barking and Dagenham 008E,32,39,32,22,18
E01000026,Barking and Dagenham 005C,67,51,50,48,40
E01000027,Barking and Dagenham 001A,63,55,46,24,45
E01000028,Barking and Dagenham 001B,30,31,37,39,30
E01000029,Barking and Dagenham 001C,25,19,13,7,12
E01000030,Barking and Dagenham 001D,80,71,65,51,39
E01000031,Barking and Dagenham 002A,33,27,37,22,28
E01000032,Barking and Dagenham 002B,62,36,35,44,35
E01000033,Barking and Dagenham 006A,40,58,28,29,43
E01000034,Barking and Dagenham 003A,47,39,35,21,41
E01000035,Barking and Dagenham 010A,62,71,46,50,46
E01000036,Barking and Dagenham 010B,57,42,27,26,22
E01000037,Barking and Dagenham 003B,15,16,20,18,12
E01000038,Barking and Dagenham 003C,20,14,14,14,9
E01000039,Barking and Dagenham 003D,24,21,12,10,16
E01000040,Barking and Dagenham 019A,49,45,38,38,26
E01000041,Barking and Dagenham 017A,30,27,36,19,19
E01000042,Barking and Dagenham 017B,64,62,70,42,34
E01000043,Barking and Dagenham 019B,18,16,14,27,22
E01000044,Barking and Dagenham 016D,30,38,39,26,46
E01000045,Barking and Dagenham 017C,60,65,61,49,45
E01000046,Barking and Dagenham 017D,27,36,39,22,18
E01000047,Barking and Dagenham 021A,102,100,101,114,95
E01000048,Barking and Dagenham 021B,53,49,30,36,27
E01000049,Barking and Dagenham 021C,53,38,40,31,35
E01000050,Barking and Dagenham 019C,46,46,39,45,30
E01000051,Barking and Dagenham 021D,59,45,66,38,35
E01000052,Barking and Dagenham 019D,35,45,40,36,30
E01000053,Barking and Dagenham 020A,41,58,68,61,39
E01000054,Barking and Dagenham 018A,29,22,30,20,36
E01000055,Barking and Dagenham 018B,39,42,39,26,22
E01000056,Barking and Dagenham 018C,68,50,54,40,37
E01000057,Barking and Dagenham 012A,64,54,60,50,42
E01000058,Barking and Dagenham 018D,36,41,38,25,28
E01000059,Barking and Dagenham 013C,40,40,34,28,24
E01000060,Barking and Dagenham 006B,113,67,61,55,64
